略称	正式名称
中小企業労働力確保法	中小企業における労働力の確保及び良好な雇用の機会の創出のための雇用管理の改善の促進に関する法律
商品ファンド法	商品投資に係る事業の規制に関する法律
出入国管理特例法	日本国との平和条約に基づき日本の国籍を離脱した者等の出入国管理に関する特例法
入管特例法	日本国との平和条約に基づき日本の国籍を離脱した者等の出入国管理に関する特例法
育児・介護休業法	育児休業、介護休業等育児又は家族介護を行う労働者の福祉に関する法律
育児介護休業法	育児休業、介護休業等育児又は家族介護を行う労働者の福祉に関する法律
暴対法	暴力団員による不当な行為の防止等に関する法律
暴力団対策法	暴力団員による不当な行為の防止等に関する法律
麻薬特例法	国際的な協力の下に規制薬物に係る不正行為を助長する行為等の防止を図るための麻薬及び向精神薬取締法等の特例等に関する法律
国家公務員育児休業法	国家公務員の育児休業等に関する法律
地方公務員育児休業法	地方公務員の育児休業等に関する法律
裁判官育児休業法	裁判官の育児休業に関する法律
国会職員育児休業法	国会職員の育児休業等に関する法律
産廃法	産業廃棄物の処理に係る特定施設の整備の促進に関する法律
産業廃棄物処理特定施設整備法	産業廃棄物の処理に係る特定施設の整備の促進に関する法律
産業廃棄物法	産業廃棄物の処理に係る特定施設の整備の促進に関する法律
介護労働者法	介護労働者の雇用管理の改善等に関する法律
排ガス抑制法	自動車から排出される窒素酸化物及び粒子状物質の特定地域における総量の削減等に関する特別措置法
自動車ＮＯｘ・ＰＭ法	自動車から排出される窒素酸化物及び粒子状物質の特定地域における総量の削減等に関する特別措置法
種の保存法	絶滅のおそれのある野生動植物の種の保存に関する法律
地方拠点都市法	地方拠点都市地域の整備及び産業業務施設の再配置の促進に関する法律
地方拠点法	地方拠点都市地域の整備及び産業業務施設の再配置の促進に関する法律
ＰＫＯ協力法	国際連合平和維持活動等に対する協力に関する法律
国連平和協力法	国際連合平和維持活動等に対する協力に関する法律
ＰＫＯ法	国際連合平和維持活動等に対する協力に関する法律
看護師等人材確保促進法	看護師等の人材確保の促進に関する法律
お祭り法	地域伝統芸能等を活用した行事の実施による観光及び特定地域商工業の振興に関する法律
地域伝統芸能活用法	地域伝統芸能等を活用した行事の実施による観光及び特定地域商工業の振興に関する法律
時短促進法	労働時間等の設定の改善に関する特別措置法
労働時間等設定改善法	労働時間等の設定の改善に関する特別措置法
バーゼル法	特定有害廃棄物等の輸出入等の規制に関する法律
ゴルフ会員契約適正化法	ゴルフ場等に係る会員契約の適正化に関する法律
ゴルフ場会員適正化法	ゴルフ場等に係る会員契約の適正化に関する法律
資産公開法	政治倫理の確立のための国会議員の資産等の公開等に関する法律
国会移転法	国会等の移転に関する法律
福祉用具法	福祉用具の研究開発及び普及の促進に関する法律
優先出資法	協同組織金融機関の優先出資に関する法律
不競法	不正競争防止法
小規模事業者支援法	商工会及び商工会議所による小規模事業者の支援に関する法律
特優賃法	特定優良賃貸住宅の供給の促進に関する法律
特定農山村法	特定農山村地域における農林業等の活性化のための基盤整備の促進に関する法律
パート労働法	短時間労働者及び有期雇用労働者の雇用管理の改善等に関する法律
パートタイム法	短時間労働者及び有期雇用労働者の雇用管理の改善等に関する法律
行手法	行政手続法
海外援助推進物品譲与法	民間海外援助事業の推進のための物品の譲与に関する法律
区画審設置法	衆議院議員選挙区画定審議会設置法
政治改革関連四法	衆議院議員選挙区画定審議会設置法
水道水源特別措置法	特定水道利水障害の防止のための水道水源水域の水質の保全に関する特別措置法
勤務時間法	一般職の職員の勤務時間、休暇等に関する法律
不特法	不動産特定共同事業法
共用促進法	特定先端大型研究施設の共用の促進に関する法律
コンベンション法	国際会議等の誘致の促進及び開催の円滑化等による国際観光の振興に関する法律
ＰＬ法	製造物責任法
主要食糧需給価格安定法	主要食糧の需給及び価格の安定に関する法律
食糧法	主要食糧の需給及び価格の安定に関する法律
原爆被爆者援護法	原子爆弾被爆者に対する援護に関する法律
原爆三法	原子爆弾被爆者に対する援護に関する法律
被爆者援護法	原子爆弾被爆者に対する援護に関する法律
農山漁村余暇法	農山漁村滞在型余暇活動のための基盤整備の促進に関する法律
政党法人格付与法	政党交付金の交付を受ける政党等に対する法人格の付与に関する法律
政党法人化法	政党交付金の交付を受ける政党等に対する法人格の付与に関する法律
電線共同溝法	電線共同溝の整備等に関する特別措置法
被災マンション法	被災区分所有建物の再建等に関する特別措置法
化学兵器禁止法	化学兵器の禁止及び特定物質の規制等に関する法律
サリン防止法	サリン等による人身被害の防止に関する法律
容器包装リサイクル法	容器包装に係る分別収集及び再商品化の促進等に関する法律
耐震改修促進法	建築物の耐震改修の促進に関する法律
緑の募金法	緑の募金による森林整備等の推進に関する法律
跡地利用特措法	沖縄県における駐留軍用地跡地の有効かつ適切な利用の推進に関する特別措置法
林野三法	林業労働力の確保の促進に関する法律
木安法	木材の安定供給の確保に関する特別措置法
木材安定供給確保特別措置法	木材の安定供給の確保に関する特別措置法
排他的経済水域大陸棚法	排他的経済水域及び大陸棚に関する法律
漁業主権法	排他的経済水域における漁業等に関する主権的権利の行使等に関する法律
ＥＥＺ漁業法	排他的経済水域における漁業等に関する主権的権利の行使等に関する法律
ＴＡＣ法	海洋生物資源の保存及び管理に関する法律
資源管理法	海洋生物資源の保存及び管理に関する法律
特定非常災害特別措置法	特定非常災害の被害者の権利利益の保全等を図るための特別措置に関する法律
特定非常災害法	特定非常災害の被害者の権利利益の保全等を図るための特別措置に関する法律
住専処理法	特定住宅金融専門会社の債権債務の処理の促進等に関する特別措置法
住専法	特定住宅金融専門会社の債権債務の処理の促進等に関する特別措置法
更生特例法	金融機関等の更生手続の特例等に関する法律
金融機関更生特例法	金融機関等の更生手続の特例等に関する法律
再編強化法	農林中央金庫及び特定農水産業協同組合等による信用事業の再編及び強化に関する法律
まぐろ法	まぐろ資源の保存及び管理の強化に関する特別措置法
新エネルギー法	新エネルギー利用等の促進に関する特別措置法
新エネ法	新エネルギー利用等の促進に関する特別措置法
私学事業団法	日本私立学校振興・共済事業団法
密集法	密集市街地における防災街区の整備の促進に関する法律
密集市街地整備法	密集市街地における防災街区の整備の促進に関する法律
南極環境保護法	南極地域の環境の保護に関する法律
南極保護法	南極地域の環境の保護に関する法律
任期付研究員法	一般職の任期付研究員の採用、給与及び勤務時間の特例に関する法律
環境アセス法	環境影響評価法
環境アセスメント法	環境影響評価法
日銀法	日本銀行法
外客誘致法	外国人観光旅客の来訪の促進等による国際観光の振興に関する法律
財政構造改革法	財政構造改革の推進に関する特別措置法
財革法	財政構造改革の推進に関する特別措置法
国外送金法	内国税の適正な課税の確保を図るための国外送金等に係る調書の提出等に関する法律
小学校及び中学校の教諭の普通免許状授与に係る教育免許法の特例等に関する法律	小学校及び中学校の教諭の普通免許状授与に係る教育職員免許法の特例等に関する法律
介護等体験特例法	小学校及び中学校の教諭の普通免許状授与に係る教育職員免許法の特例等に関する法律
臓器移植法	臓器の移植に関する法律
電子帳簿保存法	電子計算機を使用して作成する国税関係帳簿書類の保存方法等の特例に関する法律
大学等技術移転促進法	大学等における技術に関する研究成果の民間事業者への移転の促進に関する法律
ＴＬＯ法	大学等における技術に関する研究成果の民間事業者への移転の促進に関する法律
ＨＡＣＣＰ手法支援法	食品の製造過程の管理の高度化に関する臨時措置法
有責法	投資事業有限責任組合契約に関する法律
ファンド法	投資事業有限責任組合契約に関する法律
投資事業有限責任組合法	投資事業有限責任組合契約に関する法律
ＬＰＳ法	投資事業有限責任組合契約に関する法律
大店立地法	大規模小売店舗立地法
中心市街地活性化法	中心市街地の活性化に関する法律
家電リサイクル法	特定家庭用機器再商品化法
美術品公開促進法	美術品の美術館における公開の促進に関する法律
動産・債権譲渡対抗要件特例法	動産及び債権の譲渡の対抗要件に関する民法の特例等に関する法律
動産・債権譲渡特例法	動産及び債権の譲渡の対抗要件に関する民法の特例等に関する法律
資産流動化法	資産の流動化に関する法律
感染症法	感染症の予防及び感染症の患者に対する医療に関する法律
感染症予防法	感染症の予防及び感染症の患者に対する医療に関する法律
対人地雷禁止法	対人地雷の製造の禁止及び所持の規制等に関する法律
地球温暖化対策推進法	地球温暖化対策の推進に関する法律
温対法	地球温暖化対策の推進に関する法律
旧国鉄債務処理法	日本国有鉄道清算事業団の債務等の処理に関する法律
被災者支援法	被災者生活再建支援法
ＮＰＯ法	特定非営利活動促進法
土地再評価法	土地の再評価に関する法律
サッカーくじ法	スポーツ振興投票の実施等に関する法律
サービサー法	債権管理回収業に関する特別措置法
金融機能再生法	金融機能の再生のための緊急措置に関する法律
金融再生法	金融機能の再生のための緊急措置に関する法律
金融早期健全化法	金融機能の早期健全化のための緊急措置に関する法律
金融機能早期健全化法	金融機能の早期健全化のための緊急措置に関する法律
地方特例交付金法	地方特例交付金等の地方財政の特別措置に関する法律
中小企業新事業活動促進法	中小企業等経営強化法
中促法	中小企業等経営強化法
ノンバンク社債法	金融業者の貸付業務のための社債の発行等に関する法律
金融業者社債発行法	金融業者の貸付業務のための社債の発行等に関する法律
行政機関情報公開法	行政機関の保有する情報の公開に関する法律
行情法	行政機関の保有する情報の公開に関する法律
情報公開法	行政機関の保有する情報の公開に関する法律
ガイドライン関連法	重要影響事態に際して我が国の平和及び安全を確保するための措置に関する法律
周辺事態安全確保法	重要影響事態に際して我が国の平和及び安全を確保するための措置に関する法律
周辺事態法	重要影響事態に際して我が国の平和及び安全を確保するための措置に関する法律
住宅品質確保促進法	住宅の品質確保の促進等に関する法律
住宅品質確保法	住宅の品質確保の促進等に関する法律
化学物質排出把握管理促進法	特定化学物質の環境への排出量の把握等及び管理の改善の促進に関する法律
ＰＲＴＲ法	特定化学物質の環境への排出量の把握等及び管理の改善の促進に関する法律
化学物質把握管理促進法	特定化学物質の環境への排出量の把握等及び管理の改善の促進に関する法律
化管法	特定化学物質の環境への排出量の把握等及び管理の改善の促進に関する法律
中央省庁等改革関連法	内閣府設置法
独法通則法	独立行政法人通則法
新農業基本法	食料・農業・農村基本法
持続農業法	持続性の高い農業生産方式の導入の促進に関する法律
ふん尿法	家畜排せつ物の管理の適正化及び利用の促進に関する法律
家畜排せつ物法	家畜排せつ物の管理の適正化及び利用の促進に関する法律
国旗・国歌法	国旗及び国歌に関する法律
国旗国歌法	国旗及び国歌に関する法律
日の丸君が代法	国旗及び国歌に関する法律
不正アクセス禁止法	不正アクセス行為の禁止等に関する法律
組織犯罪処罰法	組織的な犯罪の処罰及び犯罪収益の規制等に関する法律
組織的犯罪処罰法	組織的な犯罪の処罰及び犯罪収益の規制等に関する法律
組織犯罪対策三法	組織的な犯罪の処罰及び犯罪収益の規制等に関する法律
盗聴法	犯罪捜査のための通信傍受に関する法律
通信傍受法	犯罪捜査のための通信傍受に関する法律
団体規制法	無差別大量殺人行為を行った団体の規制に関する法律
オウム新法	無差別大量殺人行為を行った団体の規制に関する法律
任意後見契約法	任意後見契約に関する法律
成年後見制度等関連四法	任意後見契約に関する法律
後見登記法	後見登記等に関する法律
原災法	原子力災害対策特別措置法
原子力災害特措法	原子力災害対策特別措置法
農研機構法	国立研究開発法人農業・食品産業技術総合研究機構法
官民交流法	国と民間企業との間の人事交流に関する法律
官民人事交流法	国と民間企業との間の人事交流に関する法律
児童ポルノ禁止法	児童買春、児童ポルノに係る行為等の規制及び処罰並びに児童の保護等に関する法律
児童買春禁止法	児童買春、児童ポルノに係る行為等の規制及び処罰並びに児童の保護等に関する法律
国会審議活性化法	国会審議の活性化及び政治主導の政策決定システムの確立に関する法律
ＰＦＩ法	民間資金等の活用による公共施設等の整備等の促進に関する法律
ＰＦＩ推進法	民間資金等の活用による公共施設等の整備等の促進に関する法律
仮名株取引禁止法	政治倫理の確立のための仮名による株取引等の禁止に関する法律
被害者救済法	特定破産法人の破産財団に属すべき財産の回復に関する特別措置法
特定調停法	特定債務等の調整の促進のための特定調停に関する法律
産技法	産業技術力強化法
土砂災害防止法	土砂災害警戒区域等における土砂災害防止対策の推進に関する法律
犯罪被害者保護法	犯罪被害者等の権利利益の保護を図るための刑事手続に付随する措置に関する法律
犯罪被害者等保護法	犯罪被害者等の権利利益の保護を図るための刑事手続に付随する措置に関する法律
大深度法	大深度地下の公共的使用に関する特別措置法
大深度地下使用法	大深度地下の公共的使用に関する特別措置法
金融サービス法	金融サービスの提供及び利用環境の整備等に関する法律
金融商品販売法	金融サービスの提供及び利用環境の整備等に関する法律
電子署名法	電子署名及び認証業務に関する法律
労働契約承継法	会社分割に伴う労働契約の承継等に関する法律
建設リサイクル法	建設工事に係る資材の再資源化等に関する法律
建設資材再資源化法	建設工事に係る資材の再資源化等に関する法律
循環基本法	循環型社会形成推進基本法
食品リサイクル法	食品循環資源の再生利用等の促進に関する法律
最終処分法	特定放射性廃棄物の最終処分に関する法律
任期付職員法	一般職の任期付職員の採用及び給与の特例に関する法律
入札契約適正化法	公共工事の入札及び契約の適正化の促進に関する法律
承認援助法	外国倒産処理手続の承認援助に関する法律
管理事業法	著作権等管理事業法
ＩＴ基本法	高度情報通信ネットワーク社会形成基本法
ＩＴ法	高度情報通信ネットワーク社会形成基本法
船舶検査活動法	重要影響事態等に際して実施する船舶検査活動に関する法律
船舶検査法	重要影響事態等に際して実施する船舶検査活動に関する法律
周辺事態船舶検査活動法	重要影響事態等に際して実施する船舶検査活動に関する法律
クローン法	ヒトに関するクローン技術等の規制に関する法律
ヒトクローン規制法	ヒトに関するクローン技術等の規制に関する法律
クローン技術規制法	ヒトに関するクローン技術等の規制に関する法律
ストーカー法	ストーカー行為等の規制等に関する法律
ストーカー規制法	ストーカー行為等の規制等に関する法律
過疎法	過疎地域自立促進特別措置法
自立促進法	過疎地域自立促進特別措置法
児童虐待防止法	児童虐待の防止等に関する法律
環境物品調達推進法	国等による環境物品等の調達の推進等に関する法律
グリーン購入法	国等による環境物品等の調達の推進等に関する法律
あっせん利得処罰法	公職にある者等のあっせん行為による利得等の処罰に関する法律
人権教育・啓発推進法	人権教育及び人権啓発の推進に関する法律
原発立地振興法	原子力発電施設等立地地域の振興に関する特別措置法
原子力発電施設等立地地域振興特別措置法	原子力発電施設等立地地域の振興に関する特別措置法
原発立地地域振興特措法	原子力発電施設等立地地域の振興に関する特別措置法
マンション管理適正化法	マンションの管理の適正化の推進に関する法律
高齢者住まい法	高齢者の居住の安定確保に関する法律
高齢者居住安定法	高齢者の居住の安定確保に関する法律
高齢者居住法	高齢者の居住の安定確保に関する法律
通信・放送融合法	通信・放送融合技術の開発の促進に関する法律
ＤＢ法	確定給付企業年金法
運転代行業適正化法	自動車運転代行業の業務の適正化に関する法律
自動車運転代行業法	自動車運転代行業の業務の適正化に関する法律
ＰＣＢ廃棄物処理法	ポリ塩化ビフェニル廃棄物の適正な処理の推進に関する特別措置法
ＰＣＢ特別措置法	ポリ塩化ビフェニル廃棄物の適正な処理の推進に関する特別措置法
社振法	社債、株式等の振替に関する法律
社債等振替法	社債、株式等の振替に関する法律
行政機関政策評価法	行政機関が行う政策の評価に関する法律
日本版４０１ｋ法	確定拠出年金法
ＤＣ法	確定拠出年金法
電子契約法	電子消費者契約に関する民法の特例に関する法律
電子消費者契約法	電子消費者契約に関する民法の特例に関する法律
小型船舶登録法	小型船舶の登録等に関する法律
ＭＲＡ法	特定機器に係る適合性評価手続の結果の外国との相互承認の実施に関する法律
個別労働関係紛争解決促進法	個別労働関係紛争の解決の促進に関する法律
銀行等株式保有制限法	銀行等の株式等の保有の制限等に関する法律
プロバイダー法	特定電気通信による情報の流通によって発生する権利侵害等への対処に関する法律
プロバイダ責任制限法	特定電気通信による情報の流通によって発生する権利侵害等への対処に関する法律
ＩＳＰ責任法	特定電気通信による情報の流通によって発生する権利侵害等への対処に関する法律
プロバイダー責任法	特定電気通信による情報の流通によって発生する権利侵害等への対処に関する法律
独立行政法人情報公開法	独立行政法人等の保有する情報の公開に関する法律
独情法	独立行政法人等の保有する情報の公開に関する法律
電磁的記録投票法	地方公共団体の議会の議員及び長の選挙に係る電磁的記録式投票機を用いて行う投票方法等の特例に関する法律
地方選挙電子投票特例法	地方公共団体の議会の議員及び長の選挙に係る電磁的記録式投票機を用いて行う投票方法等の特例に関する法律
電子投票法	地方公共団体の議会の議員及び長の選挙に係る電磁的記録式投票機を用いて行う投票方法等の特例に関する法律
ＤＶ防止法	配偶者からの暴力の防止及び被害者の保護等に関する法律
配偶者暴力防止法	配偶者からの暴力の防止及び被害者の保護等に関する法律
ハンセン病補償法	ハンセン病療養所入所者等に対する補償金の支給等に関する法律
ハンセン病等補償法	ハンセン病療養所入所者等に対する補償金の支給等に関する法律
フロン排出抑制法	フロン類の使用の合理化及び管理の適正化に関する法律
子ども読書活動推進法	子どもの読書活動の推進に関する法律
沖振法	沖縄振興特別措置法
沖縄振興特措法	沖縄振興特別措置法
貨幣回収準備資金法	貨幣回収準備資金に関する法律
農業法人投資円滑化法	農林漁業法人等に対する投資の円滑化に関する特別措置法
投資円滑化法	農林漁業法人等に対する投資の円滑化に関する特別措置法
土対法	土壌汚染対策法
テロ資金提供処罰法	公衆等脅迫目的の犯罪行為等のための資金等の提供等の処罰に関する法律
マンション再生円滑化法	マンションの建替え等の円滑化に関する法律
マンション建て替え円滑化法	マンションの建替え等の円滑化に関する法律
文化財不法輸出入規制法	文化財の不法な輸出入等の規制等に関する法律
自動車リサイクル法	使用済自動車の再資源化等に関する法律
鳥獣保護法	鳥獣の保護及び管理並びに狩猟の適正化に関する法律
ＪＯＧＭＥＣ法	独立行政法人エネルギー・金属鉱物資源機構法
信書便法	民間事業者による信書の送達に関する法律
知財法	知的財産基本法
中小機構法	独立行政法人中小企業基盤整備機構法
デジタル行政推進法	情報通信技術を活用した行政の推進等に関する法律
デジタル手続法	情報通信技術を活用した行政の推進等に関する法律
行政手続オンライン化法	情報通信技術を活用した行政の推進等に関する法律
公的個人認証法	電子署名等に係る地方公共団体情報システム機構の認証業務に関する法律
会更法	会社更生法
鉄運機構法	独立行政法人鉄道建設・運輸施設整備支援機構法
特区法	構造改革特別区域法
構造改革特区法	構造改革特別区域法
金融機関組織再編特措法	金融機関等の組織再編成の促進に関する特別措置法
迷惑メール対策法	特定電子メールの送信の適正化等に関する法律
特定電子メール送信適正化法	特定電子メールの送信の適正化等に関する法律
身障者補助犬法	身体障害者補助犬法
ＢＳＥ対策特別措置法	牛海綿状脳症対策特別措置法
狂牛病対策特別措置法	牛海綿状脳症対策特別措置法
南海トラフ法	南海トラフ地震に係る地震防災対策の推進に関する特別措置法
官製談合防止法	入札談合等関与行為の排除及び防止並びに職員による入札等の公正を害すべき行為の処罰に関する法律
入札談合防止法	入札談合等関与行為の排除及び防止並びに職員による入札等の公正を害すべき行為の処罰に関する法律
ホームレス自立支援特別措置法	ホームレスの自立の支援等に関する特別措置法
ホームレス自立支援法	ホームレスの自立の支援等に関する特別措置法
有明海・八代海再生特別措置法	有明海及び八代海等を再生するための特別措置に関する法律
拉致被害者支援法	北朝鮮当局によって拉致された被害者等の支援に関する法律
法科大学院派遣法	法科大学院への裁判官及び検察官その他の一般職の国家公務員の派遣に関する法律
個人情報保護法	個人情報の保護に関する法律
行政機関個人情報保護法	行政機関の保有する個人情報の保護に関する法律
独立行政法人個人情報保護法	独立行政法人等の保有する個人情報の保護に関する法律
ピッキング対策法	特殊開錠用具の所持の禁止等に関する法律
ピッキング防止法	特殊開錠用具の所持の禁止等に関する法律
牛トレサ法	牛の個体識別のための情報の管理及び伝達に関する特別措置法
牛肉トレーサビリティー法	牛の個体識別のための情報の管理及び伝達に関する特別措置法
牛トレーサビリティ法	牛の個体識別のための情報の管理及び伝達に関する特別措置法
武力攻撃事態対処法	武力攻撃事態等及び存立危機事態における我が国の平和と独立並びに国及び国民の安全の確保に関する法律
事態対処法	武力攻撃事態等及び存立危機事態における我が国の平和と独立並びに国及び国民の安全の確保に関する法律
出会い系サイト規制法	インターネット異性紹介事業を利用して児童を誘引する行為の規制等に関する法律
出会い系サイト被害防止法	インターネット異性紹介事業を利用して児童を誘引する行為の規制等に関する法律
カルタヘナ法	遺伝子組換え生物等の使用等の規制による生物の多様性の確保に関する法律
カルタヘナ議定書担保法	遺伝子組換え生物等の使用等の規制による生物の多様性の確保に関する法律
カルタヘナ担保法	遺伝子組換え生物等の使用等の規制による生物の多様性の確保に関する法律
産廃特措法	特定産業廃棄物に起因する支障の除去等に関する特別措置法
裁判迅速化法	裁判の迅速化に関する法律
人訴法	人事訴訟法
心神喪失者等医療観察法	心神喪失等の状態で重大な他害行為を行った者の医療及び観察等に関する法律
国大法人法	国立大学法人法
次世代法	次世代育成支援対策推進法
成田空港会社法	成田国際空港株式会社法
性同一性障害特例法	性同一性障害者の性別の取扱いの特例に関する法律
環境教育等促進法	環境教育等による環境保全の取組の促進に関する法律
少子化対策基本法	少子化社会対策基本法
国際船舶・港湾保安法	国際航海船舶及び国際港湾施設の保安の確保等に関する法律
市町村合併特例法	市町村の合併の特例に関する法律
合併特例法	市町村の合併の特例に関する法律
裁判員法	裁判員の参加する刑事裁判に関する法律
環境配慮促進法	環境情報の提供の促進等による特定事業者等の環境に配慮した事業活動の促進に関する法律
外来生物法	特定外来生物による生態系等に係る被害の防止に関する法律
高速道路会社法	高速道路株式会社法
ＧＰＩＦ法	年金積立金管理運用独立行政法人法
国民保護法	武力攻撃事態等における国民の保護のための措置に関する法律
米軍行動関連措置法	武力攻撃事態等及び存立危機事態におけるアメリカ合衆国等の軍隊の行動に伴い我が国が実施する措置に関する法律
米軍行動円滑化法	武力攻撃事態等及び存立危機事態におけるアメリカ合衆国等の軍隊の行動に伴い我が国が実施する措置に関する法律
特定公共施設利用法	武力攻撃事態等における特定公共施設等の利用に関する法律
国際人道法違反処罰法	国際人道法の重大な違反行為の処罰に関する法律
外国軍用品等海上輸送規制法	武力攻撃事態及び存立危機事態における外国軍用品等の海上輸送の規制に関する法律
捕虜取扱法	武力攻撃事態及び存立危機事態における捕虜等の取扱いに関する法律
捕虜取扱い法	武力攻撃事態及び存立危機事態における捕虜等の取扱いに関する法律
不登法	不動産登記法
新不動産登記法	不動産登記法
金融機能強化法	金融機能の強化のための特別措置に関する法律
電子文書法	民間事業者等が行う書面の保存等における情報通信の技術の利用に関する法律
ｅ－文書法	民間事業者等が行う書面の保存等における情報通信の技術の利用に関する法律
ＡＤＲ法	裁判外紛争解決手続の利用の促進に関する法律
コンテンツ促進法	コンテンツの創造、保護及び活用の促進に関する法律
特定船舶入港禁止法	特定船舶の入港の禁止に関する特別措置法
特定船舶入港禁止特措法	特定船舶の入港の禁止に関する特別措置法
ＬＬＰ法	有限責任事業組合契約に関する法律
有限責任事業組合契約法	有限責任事業組合契約に関する法律
刑事被収容者処遇法	刑事収容施設及び被収容者等の処遇に関する法律
刑事施設法	刑事収容施設及び被収容者等の処遇に関する法律
刑事収容施設法	刑事収容施設及び被収容者等の処遇に関する法律
オフロード法	特定特殊自動車排出ガスの規制等に関する法律
地域住宅特別措置法	地域における多様な需要に応じた公的賃貸住宅等の整備等に関する特別措置法
公的賃貸住宅等整備特別措置法	地域における多様な需要に応じた公的賃貸住宅等の整備等に関する特別措置法
物流総合効率化法	物資の流通の効率化に関する法律
障害者総合支援法	障害者の日常生活及び社会生活を総合的に支援するための法律
公共工事品質確保法	公共工事の品質確保の促進に関する法律
公共工事品確法	公共工事の品質確保の促進に関する法律
携帯電話不正利用防止法	携帯音声通信事業者による契約者等の本人確認等及び携帯音声通信役務の不正な利用の防止に関する法律
預貯金者保護法	偽造カード等及び盗難カード等を用いて行われる不正な機械式預貯金払戻し等からの預貯金者の保護等に関する法律
預金者保護法	偽造カード等及び盗難カード等を用いて行われる不正な機械式預貯金払戻し等からの預貯金者の保護等に関する法律
出入国管理法第二条第五号ロの旅券を所持する外国人の上陸申請の特例に関する法律	出入国管理及び難民認定法第二条第五号ロの旅券を所持する外国人の上陸申請の特例に関する法律
入管法第二条第五号ロの旅券を所持する外国人の上陸申請の特例に関する法律	出入国管理及び難民認定法第二条第五号ロの旅券を所持する外国人の上陸申請の特例に関する法律
難民認定法第二条第五号ロの旅券を所持する外国人の上陸申請の特例に関する法律	出入国管理及び難民認定法第二条第五号ロの旅券を所持する外国人の上陸申請の特例に関する法律
高齢者虐待防止法	高齢者虐待の防止、高齢者の養護者に対する支援等に関する法律
石綿救済法	石綿による健康被害の救済に関する法律
石綿健康被害救済法	石綿による健康被害の救済に関する法律
石綿被害者救済法	石綿による健康被害の救済に関する法律
アスベスト救済法	石綿による健康被害の救済に関する法律
中小企業ものづくり基盤技術高度化法	中小企業のものづくり基盤技術の高度化に関する法律
中小ものづくり高度化法	中小企業のものづくり基盤技術の高度化に関する法律
行政改革推進法	簡素で効率的な政府を実現するための行政改革の推進に関する法律
行革推進法	簡素で効率的な政府を実現するための行政改革の推進に関する法律
一般法人法	一般社団法人及び一般財団法人に関する法律
一般社団・財団法	一般社団法人及び一般財団法人に関する法律
一般社団・財団法人法	一般社団法人及び一般財団法人に関する法律
公益法人法	公益社団法人及び公益財団法人の認定等に関する法律
公益法人認定法	公益社団法人及び公益財団法人の認定等に関する法律
公共サービス改革法	競争の導入による公共サービスの改革に関する法律
市場化テスト法	競争の導入による公共サービスの改革に関する法律
認定こども園法	就学前の子どもに関する教育、保育等の総合的な提供の推進に関する法律
法適用通則法	法の適用に関する通則法
被害回復給付金支給法	犯罪被害財産等による被害回復給付金の支給に関する法律
担い手経営安定法	農業の担い手に対する経営安定のための交付金の交付に関する法律
バリアフリー法	高齢者、障害者等の移動等の円滑化の促進に関する法律
道州制特区法	道州制特別区域における広域行政の推進に関する法律
道州制特区推進法	道州制特別区域における広域行政の推進に関する法律
教基法	教育基本法
自殺対策法	自殺対策基本法
ドミニカ移住者特別一時金支給法	ドミニカ移住者に対する特別一時金の支給等に関する法律
有機農業推進法	有機農業の推進に関する法律
探偵業務適正化法	探偵業の業務の適正化に関する法律
探偵業法	探偵業の業務の適正化に関する法律
北朝鮮人権法	拉致問題その他北朝鮮当局による人権侵害問題への対処に関する法律
北朝鮮人権侵害対処法	拉致問題その他北朝鮮当局による人権侵害問題への対処に関する法律
文化遺産国際協力推進法	海外の文化遺産の保護に係る国際的な協力の推進に関する法律
がん対策法	がん対策基本法
犯罪収益移転防止法	犯罪による収益の移転防止に関する法律
犯収法	犯罪による収益の移転防止に関する法律
特会法	特別会計に関する法律
特別会計法	特別会計に関する法律
国際刑事裁判所協力法	国際刑事裁判所に対する協力等に関する法律
ＩＣＣ協力法	国際刑事裁判所に対する協力等に関する法律
放射線発散処罰法	放射線を発散させて人の生命等に危険を生じさせる行為等の処罰に関する法律
中小企業地域資源活用促進法	中小企業による地域産業資源を活用した事業活動の促進に関する法律
地域未来投資促進法	地域経済牽引事業の促進による地域の成長発展の基盤強化に関する法律
自己啓発等休業法	国家公務員の自己啓発等休業に関する法律
農山漁村活性化法	農山漁村の活性化のための定住等及び地域間交流の促進に関する法律
広域的地域活性化法	広域的地域活性化のための基盤整備に関する法律
地域公共交通活性化法	地域公共交通の活性化及び再生に関する法律
地域公共交通活性化・再生法	地域公共交通の活性化及び再生に関する法律
住宅瑕疵担保履行法	特定住宅瑕疵担保責任の履行の確保等に関する法律
在日米軍再編特措法	駐留軍等の再編の円滑な実施に関する特別措置法
米軍再編特措法	駐留軍等の再編の円滑な実施に関する特別措置法
米軍再編法	駐留軍等の再編の円滑な実施に関する特別措置法
米軍再編特別措置法	駐留軍等の再編の円滑な実施に関する特別措置法
商工中金法	株式会社商工組合中央金庫法
ＤＢＪ法	株式会社日本政策投資銀行法
地方公共団体財政健全化法	地方公共団体の財政の健全化に関する法律
地方自治体財政健全化法	地方公共団体の財政の健全化に関する法律
財政健全化法	地方公共団体の財政の健全化に関する法律
社会保障協定の実施に伴う厚生年金法等の特例等に関する法律	社会保障協定の実施に伴う厚生年金保険法等の特例等に関する法律
労契法	労働契約法
環境配慮契約法	国等における温室効果ガス等の排出の削減に配慮した契約の推進に関する法律
